Link ,Vendor ,Brand ,flavors ,cans per flavor ,Cost,# of Cans ,cost per can ,,CPC,,,,,,,,,,,,,,,,,
https://www.amazon.com/gp/product/B0FQ95QKD9/ref=ewc_pr_img_1?smid=A31WH9ILDNGI7O&th=1,Amazon ,Gorilla mind ,4,3,40,12,$3.33,,200mg ,,,,,,,,,,,,,,,,,
https://www.amazon.com/gp/product/B0FQ9349BC/ref=ewc_pr_img_1?th=1,Amazon ,Gorilla mind ,4,3,40,12,$3.33,,200mg ,,,,,,,,,,,,,,,,,
https://www.amazon.com/gp/product/B0CGMF1J8Z/ref=ewc_pr_img_2?smid=ATVPDKIKX0DER&th=1,Amazon ,Monster Juice ,2,5,25,15,$1.66,,150mg ,,,,,,,,,,,,,,,,,
https://www.amazon.com/gp/product/B0C9G3KRGX/ref=ewc_pr_img_2?smid=ATVPDKIKX0DER&psc=1,Amazon ,Redbull ,3,8,44,24,$1.83,,80mg,,,,,,,,,,,,,,,,,
https://www.amazon.com/gp/product/B085CTQW3Z/ref=ewc_pr_img_2?smid=A3PVSO9F612XJ3&psc=1,Amazon ,Bang ,4,6,55,24,$2.29,,300mg ,,,,,,,,,,,,,,,,,
amazon.com/gp/product/B0F5CD4253/ref=ewc_pr_img_2?smid=ATVPDKIKX0DER&psc=1 ,Amazon ,C4,4,3,28,12,$2.33,,200mg ,,,,,,,,,,,,,,,,,
https://www.amazon.com/gp/product/B0CDMS8LR1/ref=ewc_pr_img_2?smid=ATVPDKIKX0DER&th=1 ,Amazon ,ZOA,4,3,25,12,$2.08,,160mg,,,,,,,,,,,,,,,,,
https://www.amazon.com/gp/product/B08DTFNG4V/ref=ewc_pr_img_3?smid=ATVPDKIKX0DER&th=1,Amazon ,Rockstar ,4,3,26,12,$2.16,,240mg ,,,,,,,,,,,,,,,,,
https://www.amazon.com/gp/product/B0DNGSMHWL/ref=ewc_pr_img_4?smid=ATVPDKIKX0DER&th=1,Amazon ,C4 ,4,3,20,12,$1.66,,200mg ,,,,,,,,,,,,,,,,,
https://www.amazon.com/gp/product/B0C5JZ9C7W/ref=ewc_pr_img_4?smid=ATVPDKIKX0DER&th=1,Amazon ,C4 ,4,3,20,12,$1.66,,200mg ,,,,,,,,,,,,,,,,,
